Match ID,Duración (s),Modo de juego,Parche,Equipo Ganador,Equipo,Invocador,Campeón,Runas,Hechizos,K/D/A,Daño total,Daño recibido,Oro acumulado,Objetos,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos,Rol
LA2_1481868371,1163,URF,15.2.652.1536,Red,Red,Naxeron,Aurora,Desconocido (Desconocido),"4, 6",10/12/6,40903,30369,14810,"Luden's Tempest, Sorcerer's Shoes, Desconocido, Shadowflame, Rabadon's Deathcap, Amplifying Tome, Stealth Ward",2,0,6050,6,0,10,26159,22,0,0,3,10,12,0,0,0,0,0,1,0,0,89,2410,141,297,11,6,0,ADC
LA2_1481518464,932,URF,15.2.652.1536,Blue,Blue,Naxeron,Gragas,Desconocido (Desconocido),"4, 6",6/8/10,12623,20607,10918,"Desconocido, Hextech Rocketbelt, Lich Bane, Desconocido, Desconocido, Desconocido, Stealth Ward",3,4614,7058,10,0,6,16188,16,2,0,0,6,8,0,0,0,0,0,0,3,1,42,1870,159,184,14,9,0,MID
LA2_1481327153,1154,URF,15.2.652.1536,Blue,Blue,Naxeron,Hecarim,Desconocido (Desconocido),"6, 11",0/10/7,13376,38189,11843,"Muramana, Trinity Force, Eclipse, Boots of Swiftness, Desconocido, Desconocido, Stealth Ward",0,691,10338,7,1,0,24254,21,0,0,2,0,10,0,0,0,0,1,0,0,0,33,7896,210,294,11,6,0,SUPPORT
LA2_1481315979,1166,URF,15.2.652.1536,Red,Red,Naxeron,Fiora,Desconocido (Desconocido),"4, 6",11/6/7,22846,31298,15061,"Desconocido, Ravenous Hydra, Desconocido, Sterak's Gage, Eclipse, Caulfield's Warhammer, Stealth Ward",7,3889,31501,7,0,11,25948,22,0,0,0,11,6,1,0,0,0,1,1,1,0,67,10323,125,142,21,10,1,ADC
LA2_1481306920,1027,URF,15.2.652.1536,Blue,Blue,Naxeron,Mordekaiser,Desconocido (Desconocido),"4, 14",8/6/8,21343,28999,12758,"Riftmaker, Mercury's Treads, Rylai's Crystal Scepter, Liandry's Anguish, Spectre's Cowl, Kindlegem, Stealth Ward",3,1125,11885,8,0,8,18157,17,0,0,1,8,6,0,0,0,0,0,0,0,0,71,7164,100,138,16,10,0,SUPPORT
LA2_1481242647,877,URF,15.2.652.1536,Red,Red,Naxeron,XinZhao,Desconocido (Desconocido),"4, 11",6/3/9,22442,17360,12910,"Doran's Blade, Ravenous Hydra, Mercury's Treads, Eclipse, Maw of Malmortius, Desconocido, Stealth Ward",5,12039,29600,9,0,6,15446,16,1,0,0,6,3,0,0,0,0,1,1,4,0,72,8338,366,54,19,12,0,SUPPORT
LA2_1481235803,992,URF,15.2.652.1536,Red,Red,Naxeron,Poppy,Desconocido (Desconocido),"4, 6",8/5/16,17121,19656,13051,"Dead Man's Plate, Eclipse, Fimbulwinter, Plated Steelcaps, Desconocido, Desconocido, Stealth Ward",5,1706,1706,16,0,8,18799,18,0,0,0,8,5,0,0,0,0,0,0,0,0,48,612,335,137,11,6,0,SUPPORT
LA2_1481228662,859,URF,15.2.652.1536,Blue,Blue,Naxeron,Ahri,Desconocido (Desconocido),"4, 6",9/7/7,14029,17529,11956,"Doran's Ring, Desconocido, Sorcerer's Shoes, Hextech Alternator, Desconocido, Rabadon's Deathcap, Stealth Ward",6,1635,15140,7,0,9,17021,17,0,0,1,9,7,2,0,0,0,1,0,1,0,55,1928,101,85,17,11,0,ADC
LA2_1481171772,979,URF,15.2.652.1536,Red,Red,Naxeron,Morgana,Desconocido (Desconocido),"4, 3",2/4/12,16121,23156,11455,"Doran's Ring, Rylai's Crystal Scepter, Liandry's Anguish, Desconocido, Needlessly Large Rod, Desconocido, Stealth Ward",0,5840,31234,12,0,2,14408,15,0,0,0,2,4,0,0,0,0,1,0,0,0,85,5868,336,119,3,1,1,ADC
LA2_1481160071,1215,URF,15.2.652.1536,Red,Blue,Naxeron,Malzahar,Desconocido (Desconocido),"4, 3",7/7/20,25573,30020,16173,"Rylai's Crystal Scepter, Sorcerer's Shoes, Liandry's Anguish, Shadowflame, Rabadon's Deathcap, Desconocido, Stealth Ward",3,3474,8297,20,0,7,30384,24,0,0,0,7,7,1,0,0,0,0,0,1,0,117,601,731,199,8,7,0,SUPPORT
