Match ID,Duración (s),Modo de juego,Parche,Equipo Ganador,Equipo,Invocador,Campeón,Runas,Hechizos,K/D/A,Daño total,Daño recibido,Oro acumulado,Objetos,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos,Rol
LA2_1481315979,1166,URF,15.2.652.1536,Red,Red,Thelar,Gangplank,Desconocido (Desconocido),"4, 3",17/8/7,47768,37251,19487,"Infinity Edge, Immortal Shieldbow, The Collector, Mortal Reminder, Trinity Force, Youmuu's Ghostblade, Stealth Ward",6,11756,66134,7,0,17,29176,23,0,0,3,17,8,2,1,1,0,2,0,3,0,138,9410,254,215,27,15,1,JUNGLA
LA2_1481306920,1027,URF,15.2.652.1536,Blue,Blue,Thelar,Jhin,Desconocido (Desconocido),"4, 3",3/8/11,18768,17397,12110,"Infinity Edge, Rapid Firecannon, Desconocido, Serrated Dirk, The Collector, Berserker's Greaves, Farsight Alteration",2,6706,11365,11,0,3,18393,18,0,0,0,3,8,1,0,0,0,0,0,1,0,92,210,143,205,13,12,0,JUNGLA
LA2_1481242647,877,URF,15.2.652.1536,Red,Red,Thelar,Leblanc,Desconocido (Desconocido),"4, 3",13/2/14,40852,13828,14293,"Void Staff, Rabadon's Deathcap, Desconocido, Banshee's Veil, Desconocido, Desconocido, Stealth Ward",10,8512,11667,14,0,13,16011,16,0,0,0,13,2,2,0,0,0,1,0,2,0,75,416,19,53,14,12,0,TOP
LA2_1481930508,1059,URF,15.2.652.1536,Blue,Blue,Thelar,Lissandra,Desconocido (Desconocido),"4, 3",12/6/7,41657,25252,16304,"Void Staff, Rabadon's Deathcap, Desconocido, Desconocido, Shadowflame, Banshee's Veil, Stealth Ward",5,10657,10657,7,0,12,22962,20,0,0,0,12,6,3,0,0,0,0,0,2,0,115,5320,336,195,21,12,0,JUNGLA
LA2_1481925816,1728,URF,15.2.652.1536,Blue,Red,Thelar,KogMaw,Desconocido (Desconocido),"4, 3",15/7/12,74956,41082,26036,"Desconocido, Shadowflame, Rabadon's Deathcap, Horizon Focus, Void Staff, Banshee's Veil, Stealth Ward",4,12393,78559,12,0,15,40402,29,0,3,0,15,7,1,0,0,0,1,1,1,0,233,3748,461,268,37,21,1,ADC
LA2_1481922991,1322,URF,15.2.652.1536,Red,Red,Thelar,Braum,Desconocido (Desconocido),"4, 3",5/7/21,28698,62742,17614,"Force of Nature, Titanic Hydra, Spectre's Cowl, Desconocido, Heartsteel, Boots of Swiftness, Stealth Ward",2,8230,14728,21,0,5,30472,24,2,1,0,5,7,0,0,0,0,0,1,4,0,108,7910,459,131,20,14,0,ADC
LA2_1481922541,616,URF,15.2.652.1536,Red,Red,Thelar,Graves,Desconocido (Desconocido),"4, 3",7/6/5,13662,11725,8737,"Long Sword, Youmuu's Ghostblade, Pickaxe, Desconocido, Edge of Night, Desconocido, Stealth Ward",3,2597,7539,5,0,7,8209,11,0,0,1,7,6,0,0,0,0,0,0,1,0,58,160,71,87,8,7,0,ADC
LA2_1481917906,763,URF,15.2.652.1536,Blue,Red,Thelar,Ivern,Desconocido (Desconocido),"4, 3",2/1/8,7337,9663,8610,"Rylai's Crystal Scepter, Needlessly Large Rod, Desconocido, Needlessly Large Rod, Banshee's Veil, Boots, Stealth Ward",2,7606,10603,8,0,2,10114,13,0,0,0,2,1,0,0,0,0,0,0,2,0,45,302,369,34,9,7,0,MID
LA2_1481915442,1314,URF,15.2.652.1536,Red,Blue,Thelar,Malzahar,Desconocido (Desconocido),"4, 3",5/9/4,33793,33463,16874,"Desconocido, Void Staff, Rabadon's Deathcap, Hextech Alternator, Liandry's Anguish, Desconocido, Stealth Ward",3,9759,14076,4,0,5,25646,21,0,2,2,5,9,0,0,0,0,0,0,2,0,167,894,329,263,25,16,1,ADC
LA2_1481905924,1552,URF,15.2.652.1536,Blue,Blue,Thelar,Rengar,Desconocido (Desconocido),"4, 3",30/9/4,71503,50820,24562,"The Collector, Youmuu's Ghostblade, Infinity Edge, Phantom Dancer, Edge of Night, Lord Dominik's Regards, Stealth Ward",11,7408,82480,4,0,30,41596,30,0,5,0,30,9,3,1,0,0,0,0,2,0,129,13591,100,294,40,19,5,MID
