Match ID,Duración (s),Modo de juego,Parche,Equipo Ganador,Equipo,Invocador,Campeón,Runas,Hechizos,K/D/A,Daño total,Daño recibido,Oro acumulado,Objetos,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos,Rol
EUW1_7286739510,1510,CLASSIC,15.2.652.1536,Blue,Red,VJBYYTF0AO,Smolder,Desconocido (Desconocido),"4, 12",2/3/3,12578,21700,10015,"Essence Reaver, Spear Of Shojin, Zeal, Doran's Blade, Dagger, Boots, Farsight Alteration",0,3376,4833,3,0,2,12952,14,0,2,21,2,3,0,0,0,0,0,0,2,0,224,5778,320,71,30,14,6,MID
EUW1_7286224164,1528,CLASSIC,15.2.652.1536,Blue,Red,VJBYYTF0AO,Akali,Desconocido (Desconocido),"4, 12",7/12/5,23672,30434,9420,"Shadowflame, Desconocido, Amplifying Tome, Sorcerer's Shoes, Doran's Ring, Dark Seal, Oracle Lens",3,4449,4837,5,0,7,9964,13,0,2,12,7,12,0,0,0,0,0,0,1,0,132,491,69,316,16,5,1,MID
EUW1_7286188743,807,CLASSIC,15.2.652.1536,Red,Blue,VJBYYTF0AO,Jayce,Desconocido (Desconocido),"4, 12",4/1/0,12077,8657,6636,"Spear Of Shojin, Refillable Potion, Desconocido, Plated Steelcaps, Doran's Blade, Tear of the Goddess, Farsight Alteration",4,4390,4480,0,0,4,7864,11,0,0,6,4,1,0,0,0,0,0,0,0,0,122,1320,100,12,9,7,0,TOP
EUW1_7285934196,2267,CLASSIC,15.2.652.1536,Blue,Blue,VJBYYTF0AO,Ahri,Desconocido (Desconocido),"4, 12",7/1/12,35224,35678,17821,"Zhonya's Hourglass, Desconocido, Horizon Focus, Void Staff, Mejai's Soulstealer, Ionian Boots of Lucidity, Oracle Lens",7,2905,8913,12,1,7,23712,18,0,7,23,7,1,2,1,0,0,0,0,1,0,332,10419,166,60,37,12,7,MID
EUW1_7285729235,1177,CLASSIC,15.2.652.1536,Blue,Red,VJBYYTF0AO,Sylas,Desconocido (Desconocido),"4, 12",4/5/2,12203,20373,6751,"Hextech Rocketbelt, Fiendish Codex, Kindlegem, Doran's Ring, Dark Seal, Boots, Oracle Lens",2,0,830,2,0,4,9637,12,1,3,7,4,5,0,0,0,0,0,0,0,0,142,4112,237,135,12,4,1,MID
EUW1_7284375045,1741,CLASSIC,15.2.652.1536,Blue,Blue,VJBYYTF0AO,Rumble,Desconocido (Desconocido),"4, 12",6/3/12,46704,28980,13549,"Zhonya's Hourglass, Riftmaker, Desconocido, Liandry's Anguish, Desconocido, Dark Seal, Oracle Lens",2,2935,11430,12,0,6,17779,17,0,3,7,6,3,0,0,0,0,0,0,2,0,208,4286,378,124,31,10,4,TOP
EUW1_7284290642,1365,CLASSIC,15.2.652.1536,Blue,Red,VJBYYTF0AO,Rell,Desconocido (Desconocido),"4, 14",1/8/7,6156,13697,5990,"Desconocido, Refillable Potion, Desconocido, Ruby Crystal, Zeke's Convergence, Plated Steelcaps, Oracle Lens",0,950,1141,7,0,1,7138,10,0,0,7,1,8,0,0,0,0,0,0,0,0,23,56,71,134,82,43,7,SUPPORT
EUW1_7284238698,1646,CLASSIC,15.2.652.1536,Red,Blue,VJBYYTF0AO,Galio,Desconocido (Desconocido),"4, 12",4/6/1,17410,32554,8876,"Turbo Chemtank, Riftmaker, Plated Steelcaps, Desconocido, Doran's Ring, Dark Seal, Oracle Lens",2,534,716,1,0,4,11250,13,0,2,5,4,6,0,0,0,0,0,0,0,0,178,2177,103,170,27,7,5,MID
EUW1_7283149792,1899,CLASSIC,15.2.652.1536,Blue,Blue,VJBYYTF0AO,Hwei,Desconocido (Desconocido),"4, 12",11/5/14,53356,24547,14429,"Liandry's Anguish, Seraph's Embrace, Void Staff, Mejai's Soulstealer, Ionian Boots of Lucidity, Oblivion Orb, Farsight Alteration",8,5933,9354,14,0,11,16898,17,0,11,22,11,5,2,0,0,0,0,0,1,0,221,1651,827,118,36,15,3,TOP
EUW1_7282893253,1582,CLASSIC,15.2.652.1536,Blue,Blue,VJBYYTF0AO,Viktor,Desconocido (Desconocido),"4, 12",6/5/4,25381,16474,12549,"Rabadon's Deathcap, Desconocido, Liandry's Anguish, Ionian Boots of Lucidity, Doran's Ring, Dark Seal, Farsight Alteration",4,9261,13467,4,0,6,16077,16,0,1,8,6,5,0,0,0,0,0,0,4,0,215,1774,782,137,26,15,1,MID
