Match ID,Duración (s),Modo de juego,Parche,Equipo Ganador,Equipo,Invocador,Campeón,Runas,Hechizos,K/D/A,Daño total,Daño recibido,Oro acumulado,Objetos,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos,Rol
EUW1_7287829142,2378,CLASSIC,15.2.652.1536,Blue,Blue,DONATELL0,Jinx,Desconocido (Desconocido),"21, 4",9/7/19,36702,28616,18372,"Desconocido, Infinity Edge, Lord Dominik's Regards, Berserker's Greaves, Bloodthirster, Zeal, Farsight Alteration",3,7550,43639,19,0,9,21823,18,1,22,20,9,7,2,0,0,0,1,1,1,0,286,9847,200,220,37,9,13,ADC
EUW1_7287567367,1686,CLASSIC,15.2.652.1536,Blue,Blue,DONATELL0,Ezreal,Desconocido (Desconocido),"1, 4",9/5/6,29335,24586,14244,"Trinity Force, Desconocido, Vampiric Scepter, Pickaxe, Muramana, Spear Of Shojin, Farsight Alteration",3,7291,34017,6,0,9,15677,16,0,3,9,9,5,1,0,0,0,1,0,2,0,229,7887,12,135,26,8,8,ADC
EUW1_7287512875,1144,CLASSIC,15.2.652.1536,Blue,Red,DONATELL0,MissFortune,Desconocido (Desconocido),"1, 4",7/6/1,10309,14001,7918,"Bloodthirster, Essence Reaver, Pickaxe, Doran's Blade, Desconocido, Slightly Magical Footwear, Farsight Alteration",3,0,0,1,0,7,8392,11,0,16,4,7,6,1,0,0,0,0,0,0,0,111,2220,23,120,8,4,3,ADC
EUW1_7287462892,1393,CLASSIC,15.2.652.1536,Blue,Blue,DONATELL0,MissFortune,Desconocido (Desconocido),"21, 4",7/1/10,24048,10049,11578,"Doran's Blade, B. F. Sword, Boots of Swiftness, Bloodthirster, Essence Reaver, Pickaxe, Oracle Lens",5,10060,15810,10,0,7,12816,14,1,3,3,7,1,0,0,0,0,0,1,3,0,203,4434,68,28,18,2,7,ADC
EUW1_7287381608,2117,CLASSIC,15.2.652.1536,Blue,Red,DONATELL0,Tristana,Desconocido (Desconocido),"21, 4",4/3/8,35010,21159,14047,"Infinity Edge, Navori Quickblades, Desconocido, Lord Dominik's Regards, Boots, Doran's Blade, Farsight Alteration",4,321,11730,8,0,4,15786,16,2,15,10,4,3,1,0,0,0,0,0,0,0,275,6256,42,63,26,9,10,ADC
EUW1_7286736979,1835,CLASSIC,15.2.652.1536,Red,Red,DONATELL0,Jhin,Desconocido (Desconocido),"1, 4",12/3/10,37106,21189,15384,"Infinity Edge, The Collector, Rapid Firecannon, Desconocido, Last Whisper, Noonquiver, Farsight Alteration",7,3519,17777,10,0,12,16317,16,5,10,4,12,3,2,0,0,0,1,0,2,0,244,7254,166,112,17,11,4,ADC
EUW1_7286679084,1655,CLASSIC,15.2.652.1536,Red,Red,DONATELL0,Kaisa,Desconocido (Desconocido),"21, 4",12/3/6,27946,17280,14279,"Kraken Slayer, Berserker's Greaves, Rabadon's Deathcap, Guinsoo's Rageblade, Nashor's Tooth, Doran's Blade, Farsight Alteration",9,3294,31788,6,1,12,16116,16,0,15,3,12,3,1,1,1,0,1,0,2,0,238,4317,222,86,15,8,5,ADC
EUW1_7284510977,1301,CLASSIC,15.2.652.1536,Blue,Blue,DONATELL0,Ashe,Desconocido (Desconocido),"21, 4",1/4/6,9878,12450,7659,"Doran's Blade, Berserker's Greaves, Kraken Slayer, Zeal, Dagger, Dagger, Farsight Alteration",0,1599,1599,6,0,1,10109,13,0,12,9,1,4,0,0,0,0,0,0,2,0,155,2079,530,101,20,8,3,ADC
EUW1_7284451363,1308,CLASSIC,15.2.652.1536,Red,Red,DONATELL0,Corki,Desconocido (Desconocido),"1, 4",4/1/8,16354,11721,10790,"Doran's Blade, Muramana, Desconocido, Plated Steelcaps, Trinity Force, Desconocido, Oracle Lens",3,5565,5565,8,0,4,12553,14,0,6,4,4,1,0,0,0,0,0,1,3,0,205,3055,94,14,24,6,7,ADC
EUW1_7284303227,1261,CLASSIC,15.2.652.1536,Blue,Blue,DONATELL0,Akali,Desconocido (Desconocido),"12, 4",12/3/3,18577,16638,10415,"Doran's Ring, Desconocido, Desconocido, Dark Seal, Desconocido, Shadowflame, Oracle Lens",5,5333,5333,3,0,12,13331,15,0,4,10,12,3,2,0,0,0,0,0,2,0,171,2001,91,80,20,9,2,MID
EUW1_7287829142,2378,CLASSIC,15.2.652.1536,Blue,Red,noname kid m1d,Ziggs,Desconocido (Desconocido),"4, 12",7/9/13,51439,25206,16852,"Rabadon's Deathcap, Zhonya's Hourglass, Blighting Jewel, Horizon Focus, Desconocido, Luden's Tempest, Farsight Alteration",3,13588,13998,13,0,7,18372,18,0,6,8,7,9,1,0,0,0,0,0,4,0,268,758,426,318,17,10,5,ADC
EUW1_7287567367,1686,CLASSIC,15.2.652.1536,Blue,Red,Noodle Tree,Varus,Desconocido (Desconocido),"21, 4",9/6/3,22499,19687,13267,"Boots of Swiftness, Youmuu's Ghostblade, Edge of Night, Muramana, Serylda's Grudge, Desconocido, Farsight Alteration",3,5891,16688,3,0,9,13453,15,0,4,5,9,6,1,1,0,0,0,0,1,0,210,2233,234,178,23,9,3,ADC
EUW1_7287512875,1144,CLASSIC,15.2.652.1536,Blue,Blue,,Kalista,Desconocido (Desconocido),"1, 4",5/3/6,12107,10302,8914,"Doran's Blade, Blade of The Ruined King, Guinsoo's Rageblade, Desconocido, Control Ward, Desconocido, Farsight Alteration",3,4685,5413,6,0,5,8518,11,0,10,27,5,3,0,0,0,0,0,0,2,0,146,2080,184,63,17,5,4,ADC
EUW1_7287462892,1393,CLASSIC,15.2.652.1536,Blue,Red,avarice61,Smolder,Desconocido (Desconocido),"4, 21",2/4/0,21400,14520,8296,"Infinity Edge, Essence Reaver, Ionian Boots of Lucidity, Desconocido, Desconocido, Doran's Blade, Farsight Alteration",2,1231,1231,0,0,2,10259,13,0,0,0,2,4,0,0,0,0,0,0,0,0,184,2593,200,110,10,4,2,ADC
