Match ID,Duración (s),Modo de juego,Parche,Equipo Ganador,Equipo,Invocador,Campeón,Runas,Hechizos,K/D/A,Daño total,Daño recibido,Oro acumulado,Objetos,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos
LA2_1481930508,1059,URF,15.2.652.1536,Blue,Blue,Its Fry Day,MissFortune,Desconocido (Desconocido),"4, 3",7/4/1,22446,17876,13671,"Infinity Edge, Desconocido, The Collector, Desconocido, Long Sword, Desconocido, Stealth Ward",3,4572,18913,1,0,7,19576,18,0,0,0,7,4,1,0,0,0,1,0,1,0,117,3024,191,128,33,21,0
LA2_1481930508,1059,URF,15.2.652.1536,Blue,Blue,Thelar,Lissandra,Desconocido (Desconocido),"4, 3",12/6/7,41657,25252,16304,"Void Staff, Rabadon's Deathcap, Desconocido, Desconocido, Shadowflame, Banshee's Veil, Stealth Ward",5,10657,10657,7,0,12,22962,20,0,0,0,12,6,3,0,0,0,0,0,2,0,115,5320,336,195,21,12,0
LA2_1481930508,1059,URF,15.2.652.1536,Blue,Blue,mynamejeff,Karthus,Desconocido (Desconocido),"3, 4",8/5/11,48485,20792,15804,"Liandry's Anguish, Shadowflame, Rabadon's Deathcap, Desconocido, Desconocido, Blasting Wand, Stealth Ward",4,6683,14472,11,0,8,23281,20,0,0,0,8,5,1,0,0,0,0,0,2,0,114,4095,196,114,11,6,0
LA2_1481930508,1059,URF,15.2.652.1536,Blue,Blue,NoUwUNoLife,Xayah,Desconocido (Desconocido),"4, 6",13/4/3,30491,23229,15224,"The Collector, Desconocido, Lord Dominik's Regards, Infinity Edge, Vampiric Scepter, Desconocido, Stealth Ward",5,9996,83863,3,1,13,21387,19,0,0,1,13,4,3,0,0,0,2,2,4,1,101,7281,29,80,15,8,0
LA2_1481930508,1059,URF,15.2.652.1536,Blue,Blue,Rompe Telinhas,Sejuani,Desconocido (Desconocido),"3, 4",3/5/17,24635,30568,11214,"Doran's Shield, Turbo Chemtank, Desconocido, Desconocido, Crystalline Bracer, Ruby Crystal, Stealth Ward",2,2840,9119,17,0,3,21776,19,0,0,0,3,5,0,0,0,0,0,0,1,0,30,4061,126,80,21,15,0
LA2_1481930508,1059,URF,15.2.652.1536,Blue,Red,xNoobMaster69,Ezreal,Desconocido (Desconocido),"6, 4",2/4/2,14928,17279,12221,"Doran's Blade, Youmuu's Ghostblade, Trinity Force, Plated Steelcaps, Lord Dominik's Regards, Serrated Dirk, Stealth Ward",0,1904,1904,2,0,2,19717,18,0,0,0,2,4,0,0,0,0,0,0,0,0,142,2205,13,63,20,15,1
LA2_1481930508,1059,URF,15.2.652.1536,Blue,Red,T1 TorriZen,Swain,Desconocido (Desconocido),"6, 4",7/10/2,30054,57222,12065,"Heartsteel, Boots, Riftmaker, Desconocido, Thornmail, Desconocido, Stealth Ward",2,704,2910,2,0,7,18232,17,1,0,0,7,10,1,0,0,0,0,0,0,0,67,15220,191,247,16,10,0
LA2_1481930508,1059,URF,15.2.652.1536,Blue,Red,MochilaCulia127,Zilean,Desconocido (Desconocido),"4, 6",5/11/3,14521,33282,10324,"Doran's Ring, Shurelya's Battlesong, Boots of Swiftness, Luden's Tempest, Imperial Mandate, Aether Wisp, Stealth Ward",2,0,0,3,0,5,19443,18,0,0,2,5,11,0,0,0,0,0,0,0,0,55,7356,74,282,11,6,0
LA2_1481930508,1059,URF,15.2.652.1536,Blue,Red,,Ornn,Desconocido (Desconocido),"4, 14",3/14/6,18349,50803,10084,"Heartsteel, Fimbulwinter, Mercury's Treads, Desconocido, Desconocido, Desconocido, Stealth Ward",2,2136,2136,6,0,3,16161,16,3,3,0,3,14,1,0,0,0,0,0,0,0,59,1218,397,298,1,1,0
LA2_1481930508,1059,URF,15.2.652.1536,Blue,Red,Pasivo Tragon ,Vex,Desconocido (Desconocido),"4, 6",7/4/6,21923,17468,12894,"Shadowflame, Sorcerer's Shoes, Void Staff, Rabadon's Deathcap, Amplifying Tome, Desconocido, Stealth Ward",4,1685,1685,6,0,7,18815,18,3,2,7,7,4,1,0,0,0,0,0,0,0,98,511,296,79,35,25,0
