Match ID,Duración (s),Modo de juego,Parche,Equipo Ganador,Equipo,Invocador,Campeón,Runas,Hechizos,K/D/A,Daño total,Daño recibido,Oro acumulado,Objetos,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos
EUW1_7290115076,1191,CLASSIC,15.2.652.1536,Red,Blue,VJBYYTF0AO,Corki,Desconocido (Desconocido),"4, 12",7/8/4,22982,21747,8013,"Desconocido, Desconocido, Desconocido, Desconocido, Desconocido, Desconocido, Farsight Alteration",3,660,3271,4,0,7,9662,12,0,0,10,7,8,3,0,0,0,0,0,0,0,125,2157,19,164,8,5,1
EUW1_7290115076,1191,CLASSIC,15.2.652.1536,Red,Blue,ismααα,Nidalee,Desconocido (Desconocido),"4, 11",7/1/8,10030,23916,8876,"Zhonya's Hourglass, Liandry's Anguish, Mercury's Treads, Desconocido, Desconocido, Desconocido, Oracle Lens",6,0,24969,8,0,7,9332,12,2,16,2,7,1,0,0,0,0,1,0,0,0,11,19400,60,32,19,5,6
EUW1_7290115076,1191,CLASSIC,15.2.652.1536,Red,Blue,,Syndra,Desconocido (Desconocido),"4, 12",8/5/3,18750,13936,8886,"Doran's Ring, Shadowflame, Sorcerer's Shoes, Liandry's Anguish, Control Ward, Desconocido, Farsight Alteration",3,2033,2033,3,0,8,10519,13,5,4,8,8,5,2,0,0,0,0,0,1,0,161,269,356,125,13,9,0
EUW1_7290115076,1191,CLASSIC,15.2.652.1536,Red,Blue,Yiken,Varus,Desconocido (Desconocido),"4, 21",0/6/7,13001,14193,6326,"Youmuu's Ghostblade, Doran's Blade, Slightly Magical Footwear, Manamune, Desconocido, Desconocido, Farsight Alteration",0,485,3324,7,0,0,7568,11,0,5,3,0,6,0,0,0,0,0,0,0,0,138,1382,222,112,11,6,2
EUW1_7290115076,1191,CLASSIC,15.2.652.1536,Red,Blue,bbb11,Braum,Desconocido (Desconocido),"4, 7",0/2/10,3383,13876,4801,"Desconocido, Desconocido, Locket of the Iron Solari, Mercury's Treads, Control Ward, Desconocido, Oracle Lens",0,0,1455,10,0,0,6431,10,0,2,1,0,2,0,0,0,0,0,0,0,0,18,2820,132,36,40,22,3
EUW1_7290115076,1191,CLASSIC,15.2.652.1536,Red,Red, Nothing much,Sion,Desconocido (Desconocido),"4, 12",7/7/2,14524,32562,10675,"Turbo Chemtank, Desconocido, Mercury's Treads, Chain Vest, Giant's Belt, Negatron Cloak, Stealth Ward",4,5669,5669,2,0,7,12695,14,0,1,1,7,7,1,0,0,0,0,0,2,0,174,6301,533,125,9,5,0
EUW1_7290115076,1191,CLASSIC,15.2.652.1536,Red,Red,xiaolingzi,Pantheon,Desconocido (Desconocido),"4, 11",5/5/4,7754,23770,7294,"Ruby Crystal, Desconocido, Pickaxe, Mercury's Treads, Desconocido, Desconocido, Oracle Lens",2,0,15654,4,0,5,7872,11,0,0,3,5,5,0,0,0,0,1,0,0,0,13,10260,198,136,13,2,2
EUW1_7290115076,1191,CLASSIC,15.2.652.1536,Red,Red,Odysseus131,Taliyah,Desconocido (Desconocido),"6, 4",2/2/8,15329,12077,8330,"Boots of Swiftness, Seraph's Embrace, Doran's Ring, Dark Seal, Desconocido, Amplifying Tome, Farsight Alteration",0,2622,2622,8,0,2,11170,13,0,1,2,2,2,0,0,0,0,0,0,1,0,156,1301,449,48,10,7,1
EUW1_7290115076,1191,CLASSIC,15.2.652.1536,Red,Red,Keduii123,MissFortune,Desconocido (Desconocido),"1, 4",7/3/3,23279,11740,9576,"Doran's Blade, Boots of Swiftness, Desconocido, Essence Reaver, Refillable Potion, Bloodthirster, Farsight Alteration",3,3279,3279,3,0,7,9281,12,3,10,12,7,3,1,0,0,0,0,0,1,0,159,3893,71,93,17,9,2
EUW1_7290115076,1191,CLASSIC,15.2.652.1536,Red,Red,Paixdia,Nautilus,Desconocido (Desconocido),"4, 14",1/6/7,6307,14093,5494,"Desconocido, Ruby Crystal, Locket of the Iron Solari, Mercury's Treads, Desconocido, Control Ward, Oracle Lens",0,1656,1656,7,0,1,5164,9,1,11,1,1,6,0,0,0,0,0,0,0,0,23,281,186,111,54,22,7
