Match ID,Duración (s),Modo de juego,Parche,Equipo Ganador,Equipo,Invocador,Campeón,Runas,Hechizos,K/D/A,Daño total,Daño recibido,Oro acumulado,Objetos,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos
EUW1_7290530734,2358,CLASSIC,15.2.652.1536,Blue,Blue,G2ThreeEyedSwain,Ornn,Desconocido (Desconocido),"4, 12",9/4/14,39865,84418,15939,"Heartsteel, Desconocido, Desconocido, Jak'Sho, The Protean, Desconocido, Thornmail, Farsight Alteration",4,8065,9066,14,0,9,20326,18,2,5,5,9,4,0,0,0,0,0,0,3,0,213,16164,530,195,28,14,4
EUW1_7290530734,2358,CLASSIC,15.2.652.1536,Blue,Blue,Thørs Snorresson,Pantheon,Desconocido (Desconocido),"4, 11",17/4/6,43874,57916,18567,"Desconocido, Sterak's Gage, Serpent's Fang, Mercury's Treads, Black Cleaver, Dead Man's Plate, Oracle Lens",9,1942,45944,6,1,17,21079,18,0,0,24,17,4,3,1,0,0,2,1,0,0,14,28344,202,168,43,9,5
EUW1_7290530734,2358,CLASSIC,15.2.652.1536,Blue,Blue,AIS333,Azir,Desconocido (Desconocido),"12, 4",3/10/6,26304,30698,14145,"Mercury's Treads, Desconocido, Rabadon's Deathcap, Nashor's Tooth, Void Staff, Desconocido, Farsight Alteration",3,1903,18007,6,0,3,20747,18,2,1,20,3,10,0,0,0,0,0,0,0,0,293,1446,226,449,28,18,4
EUW1_7290530734,2358,CLASSIC,15.2.652.1536,Blue,Blue,Mishigu,Corki,Desconocido (Desconocido),"21, 4",6/9/20,53698,36798,17585,"Desconocido, Lord Dominik's Regards, Infinity Edge, Muramana, Trinity Force, Desconocido, Farsight Alteration",0,5230,35453,20,0,6,21296,18,15,9,9,6,9,0,0,0,0,0,0,2,1,272,4800,30,333,47,13,13
EUW1_7290530734,2358,CLASSIC,15.2.652.1536,Blue,Blue,eltuko,Elise,Desconocido (Desconocido),"4, 14",3/9/19,21584,30836,12529,"Desconocido, Desconocido, Shadowflame, Desconocido, Desconocido, Blighting Jewel, Oracle Lens",0,2423,11308,19,0,3,14821,16,0,14,9,3,9,0,0,0,0,0,0,2,0,37,4983,71,221,130,61,19
EUW1_7290530734,2358,CLASSIC,15.2.652.1536,Blue,Red,papi oscar,Udyr,Desconocido (Desconocido),"6, 12",5/10/6,22583,65017,13204,"Fimbulwinter, Desconocido, Randuin's Omen, Mercury's Treads, Spirit Visage, Desconocido, Oracle Lens",3,3179,9324,6,0,5,16851,17,0,0,1,5,10,1,0,0,0,1,1,3,0,177,18338,2820,321,40,12,6
EUW1_7290530734,2358,CLASSIC,15.2.652.1536,Blue,Red,DaaaaahVys,Viego,Desconocido (Desconocido),"4, 11",6/8/9,24259,61709,14684,"Trinity Force, Desconocido, Sterak's Gage, B. F. Sword, Mercury's Treads, Desconocido, Oracle Lens",2,3345,25044,9,1,6,18417,18,0,15,39,6,8,0,0,0,0,2,0,4,0,41,28276,292,312,49,8,10
EUW1_7290530734,2358,CLASSIC,15.2.652.1536,Blue,Red,G2 Dracarys,Ahri,Desconocido (Desconocido),"12, 4",7/6/13,49908,33126,14592,"Control Ward, Rabadon's Deathcap, Desconocido, Boots of Swiftness, Horizon Focus, Void Staff, Oracle Lens",3,2744,10661,13,0,7,17839,17,0,4,2,7,6,0,0,0,0,0,0,2,0,234,9672,163,248,47,13,11
EUW1_7290530734,2358,CLASSIC,15.2.652.1536,Blue,Red,LXKAOwl,Ezreal,Desconocido (Desconocido),"4, 1",16/5/7,89530,40260,19337,"Spear Of Shojin, Muramana, Trinity Force, Serylda's Grudge, Ionian Boots of Lucidity, Bloodthirster, Farsight Alteration",8,8625,32120,7,0,16,21637,18,0,10,6,16,5,2,0,0,0,1,0,1,0,284,13746,343,165,19,13,3
EUW1_7290530734,2358,CLASSIC,15.2.652.1536,Blue,Red,Amelda,Galio,Desconocido (Desconocido),"4, 14",2/9/19,15871,37326,9727,"Control Ward, Desconocido, Locket of the Iron Solari, Redemption, Winged Moonplate, Mercury's Treads, Oracle Lens",0,0,2675,19,0,2,11554,14,0,1,4,2,9,0,0,0,0,0,0,0,0,24,7779,124,306,127,66,9
