Match ID,Duración (s),Modo de juego,Parche,Equipo Ganador,Equipo,Invocador,Campeón,Runas,Hechizos,K/D/A,Daño total,Daño recibido,Oro acumulado,Objetos,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos
EUW1_7288641559,1854,CLASSIC,15.2.652.1536,Blue,Blue,,Sion,Desconocido (Desconocido),"12, 4",6/3/5,27659,39209,12713,"Titanic Hydra, Desconocido, Fimbulwinter, Boots of Swiftness, Giant's Belt, Giant's Belt, Oracle Lens",4,5780,7980,5,0,6,17844,17,0,2,9,6,3,1,0,0,0,0,1,2,0,228,10726,505,119,23,5,7
EUW1_7288641559,1854,CLASSIC,15.2.652.1536,Blue,Blue,lec reject1,Vi,Desconocido (Desconocido),"11, 4",8/1/11,30765,31986,12878,"Black Cleaver, Desconocido, Maw of Malmortius, Desconocido, Trinity Force, Desconocido, Oracle Lens",5,5104,91279,11,1,8,17286,17,2,17,17,8,1,0,0,0,0,4,1,1,1,7,21049,299,32,36,10,1
EUW1_7288641559,1854,CLASSIC,15.2.652.1536,Blue,Blue,VJBYYTF0AO,Orianna,Desconocido (Desconocido),"4, 12",3/6/13,23644,20246,12496,"Zhonya's Hourglass, Seraph's Embrace, Blighting Jewel, Desconocido, Blasting Wand, Doran's Ring, Farsight Alteration",3,9714,11131,13,0,3,15686,16,0,5,26,3,6,0,0,0,0,0,0,2,0,215,2912,377,157,26,16,3
EUW1_7288641559,1854,CLASSIC,15.2.652.1536,Blue,Blue,ADexapunch,Varus,Desconocido (Desconocido),"1, 4",12/3/6,31105,14980,16183,"Desconocido, Youmuu's Ghostblade, Last Whisper, Edge of Night, Muramana, Serpent's Fang, Farsight Alteration",8,4452,24455,6,0,12,17143,17,5,5,24,12,3,2,0,0,0,0,0,2,0,274,3966,279,60,26,15,7
EUW1_7288641559,1854,CLASSIC,15.2.652.1536,Blue,Blue,NAYMTCPYJV,Elise,Desconocido (Desconocido),"4, 14",3/6/13,19375,18079,9386,"Desconocido, Desconocido, Needlessly Large Rod, Desconocido, Oblivion Orb, Dark Seal, Oracle Lens",0,0,1543,13,0,3,9990,13,0,1,29,3,6,0,0,0,0,0,0,0,0,22,4212,51,134,100,56,10
EUW1_7288641559,1854,CLASSIC,15.2.652.1536,Blue,Red,Odoamne,Chogath,Desconocido (Desconocido),"12, 4",4/7/4,27039,57189,10798,"Heartsteel, Boots of Swiftness, Desconocido, Jak'Sho, The Protean, Desconocido, Desconocido, Oracle Lens",0,3190,3190,4,0,4,14264,15,0,0,0,4,7,0,0,0,0,0,0,0,0,206,10828,980,294,15,6,2
EUW1_7288641559,1854,CLASSIC,15.2.652.1536,Blue,Red,Joinze,Ivern,Desconocido (Desconocido),"4, 11",3/1/12,11072,14183,10861,"Desconocido, Ionian Boots of Lucidity, Redemption, Moonstone Renewer, Desconocido, Dark Seal, Oracle Lens",3,0,2941,12,0,3,13079,15,0,0,7,3,1,0,0,0,0,1,0,0,0,23,9545,416,40,47,8,12
EUW1_7288641559,1854,CLASSIC,15.2.652.1536,Blue,Red,Decay0,Ahri,Desconocido (Desconocido),"12, 4",4/5/4,21922,22009,11647,"Rabadon's Deathcap, Desconocido, Control Ward, Dark Seal, Ionian Boots of Lucidity, Banshee's Veil, Oracle Lens",0,2913,2913,4,0,4,14876,16,0,1,2,4,5,0,0,0,0,0,0,1,0,242,5579,98,117,22,8,2
EUW1_7288641559,1854,CLASSIC,15.2.652.1536,Blue,Red,DONATELL0,Ezreal,Desconocido (Desconocido),"1, 4",6/8/4,20662,27356,11369,"Doran's Blade, Spear Of Shojin, Ionian Boots of Lucidity, Trinity Force, Muramana, Desconocido, Farsight Alteration",2,1680,9898,4,0,6,11976,14,0,1,7,6,8,0,0,0,0,0,0,1,0,215,3223,37,244,26,9,9
EUW1_7288641559,1854,CLASSIC,15.2.652.1536,Blue,Red,G2 Jorah Mormont,Rell,Desconocido (Desconocido),"14, 4",2/11/14,12008,29319,8232,"Locket of the Iron Solari, Control Ward, Desconocido, Desconocido, Mercury's Treads, Ruby Crystal, Oracle Lens",0,463,463,14,0,2,8832,12,0,1,9,2,11,0,0,0,0,0,0,0,0,27,1686,130,228,110,51,9
EUW1_7287829142,2378,CLASSIC,15.2.652.1536,Blue,Blue,Shourdy,Ambessa,Desconocido (Desconocido),"4, 12",9/7/11,36863,46665,19686,"Plated Steelcaps, Eclipse, Spear Of Shojin, Guardian Angel, Black Cleaver, Sterak's Gage, Stealth Ward",4,10717,16523,11,0,9,26478,18,0,7,34,9,7,1,0,0,0,1,1,3,1,329,13093,451,234,48,15,10
EUW1_7287829142,2378,CLASSIC,15.2.652.1536,Blue,Blue,Fëihóng Zhï Jiàn,Pantheon,Desconocido (Desconocido),"4, 11",17/5/13,42304,58837,18912,"Mercury's Treads, Black Cleaver, Sterak's Gage, Spear Of Shojin, Death's Dance, Desconocido, Oracle Lens",5,4852,47241,13,2,17,20906,18,5,0,7,17,5,2,1,0,0,1,1,4,0,26,29903,361,162,36,4,6
EUW1_7287829142,2378,CLASSIC,15.2.652.1536,Blue,Blue,MUGEN POWER,Syndra,Desconocido (Desconocido),"4, 14",7/7/17,26576,27533,15689,"Sorcerer's Shoes, Zhonya's Hourglass, Void Staff, Dark Seal, Shadowflame, Desconocido, Farsight Alteration",2,4626,12126,17,0,7,19353,18,2,26,37,7,7,0,0,0,0,0,1,2,0,228,1630,426,282,37,16,5
EUW1_7287829142,2378,CLASSIC,15.2.652.1536,Blue,Blue,DONATELL0,Jinx,Desconocido (Desconocido),"21, 4",9/7/19,36702,28616,18372,"Desconocido, Infinity Edge, Lord Dominik's Regards, Berserker's Greaves, Bloodthirster, Zeal, Farsight Alteration",3,7550,43639,19,0,9,21823,18,1,22,20,9,7,2,0,0,0,1,1,1,0,286,9847,200,220,37,9,13
